X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
458189,4379391,4384,21564,4384,458189,4379391,724283,5.3195,727.913
458189,4379390,4384,21564,4384,458189,4379390,724310,6.50529,727.803
458190,4379389,4384,21564,4384,458190,4379389,724326,6.76238,727.758
458191,4379389,4384,21564,4384,458191,4379389,724353,7.88644,727.661
458192,4379388,4384,21564,4384,458192,4379388,8,7.20159,727.716
458193,4379387,4384,21564,4384,458193,4379387,8,8.065,727.624
458194,4379386,4384,21564,4384,458194,4379386,8,8.74015,727.742
458194,4379385,4384,21564,4384,458194,4379385,724416,4.16654,727.755
458195,4379384,4384,21564,4384,458195,4379384,724421,4.15395,727.716
458196,4379383,4384,21564,4384,458196,4379383,724453,4.76259,727.597
458197,4379382,4384,21564,4384,458197,4379382,724455,4.86128,727.599
458198,4379381,4384,21564,4384,458198,4379381,724473,6.48066,727.563
458199,4379380,4384,21564,4384,458199,4379380,724492,8.17198,727.54
458200,4379380,4384,21564,4384,458200,4379380,724494,1.57654,727.506
458201,4379380,4384,21564,4384,458201,4379380,724503,12.2038,727.468
458201,4379379,4384,21564,4384,458201,4379379,724508,3.04416,727.479
458202,4379378,4384,21564,4384,458202,4379378,726302,8.51432,727.346
458202,4379377,4384,21564,4384,458202,4379377,726349,4.76214,727.455
458202,4379376,4384,21564,4384,458202,4379376,726350,3.78822,727.459
458202,4379375,4384,21564,4384,458202,4379375,727042,4.89602,727.344
458203,4379374,4384,21564,4384,458203,4379374,727103,5.62488,727.318
458203,4379373,4384,21564,4384,458203,4379373,727130,2.74151,727.314
458203,4379372,4384,21564,4384,458203,4379372,727152,2.01376,727.305
458204,4379371,4384,21564,4384,458204,4379371,727162,3.64151,727.25
458204,4379370,4384,21564,4384,458204,4379370,727239,4.26549,727.22
458205,4379369,4384,21564,4384,458205,4379369,727260,1.40413,727.196
458205,4379368,4384,21564,4384,458205,4379368,728158,9.99074,727.164
458206,4379367,4384,21564,4384,458206,4379367,6,9.91919,727.133
458207,4379366,4384,21564,4384,458207,4379366,4,9.23013,727.127
458208,4379366,4384,21564,4384,458208,4379366,728183,1.86007,727.176
458209,4379365,4384,21564,4384,458209,4379365,728280,8.02681,727.061
